,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,https://originalswat.com/, ,[], ,0.0,neu,thepieceofshitfromuranus1982, ,0
1,no more shorttime shoes please.,no shorttim shoe pleas,"['no', 'shorttim', 'shoe', 'pleas']", ,-0.296,neu,thepieceofshitfromuranus1982, ,0
2,It’s goes to sneaker heaven,goe sneaker heaven,"['goe', 'sneaker', 'heaven']", ,0.5106,pos,donoftheswag, ,0
3,Why do you pronounce PUMA like that 😂,pronounc puma like,"['pronounc', 'puma', 'like']",😂,0.3261421009437834,neu,tlifexx, ,0
4,"She is rare, she is perfect #womanart #magnifique 🔥so cute🥴💚⚡",rare perfect womanart magnifiqu cute,"['rare', 'perfect', 'womanart', 'magnifiqu', 'cute']",🔥🥴💚⚡,0.6045455764936771,pos,groznyitv, ,0
5,Why you keep popping up in others moments?,keep pop other moment,"['keep', 'pop', 'other', 'moment']", ,0.0,neu,lord_child233, ,0
6,"I dreamed….
 I dreamed and you came true!
 I searched and you found!
 For many, many years I dreamed
 Having power over me!
 And now I'm extremely happy
 It's like I'm floating in paradise.
 And fate, Facebook and God
 I thank you for that.",dream dream came true search found mani mani year dream power extrem happi like float paradis fate facebook god thank,"['dream', 'dream', 'came', 'true', 'search', 'found', 'mani', 'mani', 'year', 'dream', 'power', 'extrem', 'happi', 'like', 'float', 'paradis', 'fate', 'facebook', 'god', 'thank']", ,0.9169,pos,podolsk_tt, ,0
7,Hoe bout we turn you into soil cara smellabean?,hoe bout turn soil cara smellabean,"['hoe', 'bout', 'turn', 'soil', 'cara', 'smellabean']", ,0.0,neu,tony2time_, ,1
8,😍, ,[],😍,0.6779367825129737,neu,nicolcarreraq, ,0
9,can’t wear those shoes in the rain then can ya? they’d mold!,wear shoe rain ya mold,"['wear', 'shoe', 'rain', 'ya', 'mold']", ,0.0,neu,electricmaggots, ,0
10,Hot woman,hot woman,"['hot', 'woman']", ,0.0,neu,fabiofodastico12, ,0
11,🔥🔥😍😍😍, ,[],🔥🔥😍😍😍,0.4626760480024079,neu,fabiofodastico12, ,0
12,https://youtu.be/QKKOwjyDqpE, ,[], ,0.0,neu,the_rebelution_network, ,0
