,comment,cl_comment,wordlist,emojis,sent,user,mentioned
0,The dresses look strange!,dress look strang,"['dress', 'look', 'strang']",[],neu,cappuccino_after_lunch,[]
1,LBLBLBLB ❤️❤️❤️,lblblblb,['lblblblb'],"['❤', '❤', '❤']",neu,isherrific,[]
2,LBLBLBLB ❤️❤️,lblblblb,['lblblblb'],"['❤', '❤']",neu,isherrific,[]
3,❤️,,[],['❤'],neu,nicole_elizibath,[]
4,Lb~,lb,['lb'],[],neu,luciaburana,[]
5,Lb,lb,['lb'],[],neu,rckcrpio,[]
6,Lb,lb,['lb'],[],neu,rckcrpio,[]
7,Lb,lb,['lb'],[],neu,rckcrpio,[]
8,💗,,[],['💗'],neu,1710.94,[]
9,Check story 💛💛💛💛💛💛🤎💛💛🤎🤎🤎💛💛💛💛🤎🤎🤎🤎💛💛💛💛💛,check stori,"['check', 'stori']","['💛', '💛', '💛', '💛', '💛', '💛', '🤎', '💛', '💛', '🤎', '🤎', '🤎', '💛', '💛', '💛', '💛', '🤎', '🤎', '🤎', '🤎', '💛', '💛', '💛', '💛', '💛']",neu,yashii.paid.001,[]
10,Beautiful 🔥,beauti,['beauti'],['🔥'],neu,arad_shakh30,[]
11,Lb,lb,['lb'],[],neu,rckcrpio,[]
12,LB,lb,['lb'],[],neu,rckcrpio,[]
13,LB,lb,['lb'],[],neu,rckcrpio,[]
14,LB,lb,['lb'],[],neu,rckcrpio,[]
15,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",neu,jiha.c,[]
16,Lb,lb,['lb'],[],neu,rckcrpio,[]
17,Lb,lb,['lb'],[],neu,rckcrpio,[]
18,Shatruhan Gupta,shatruhan gupta,"['shatruhan', 'gupta']",[],neu,shatruhan119,[]
19,Shatruhan Gupta,shatruhan gupta,"['shatruhan', 'gupta']",[],neu,shatruhan119,[]
20,Ok KeKe,ok keke,"['ok', 'keke']",[],neu,tralocc,[]
21,👏👏🔥🙌❤️😢😍😮😂,,[],"['👏', '👏', '🔥', '🙌', '❤', '😢', '😍', '😮', '😂']",neu,shatruhan119,[]
22,LB,lb,['lb'],[],neu,rckcrpio,[]
23,oчень кpyто,py,['py'],[],neu,yuste__i9z80,[]
24,LB,lb,['lb'],[],neu,rckcrpio,[]
25,oчень кpуто,p,['p'],[],neu,burtschi.uw5y66,[]
26,"Can I get both or do I have to pick one, LOL",get pick one lol,"['get', 'pick', 'one', 'lol']",[],neu,ricosmooth47,[]
27,itch,itch,['itch'],[],neu,larrychucks1,[]
28,well-off,welloff,['welloff'],[],neu,fi_del3986,[]
29,Hiii,hiii,['hiii'],[],neu,mdshahrukh798,[]
30,rings,ring,['ring'],[],neu,valhermiya,[]
31,🔥🔥,,[],"['🔥', '🔥']",neu,lili.bxth,[]
32,Lb,lb,['lb'],[],neu,lili.bxth,[]
33,follow for the best and brand bags🔥🔥🔥🔥🔥🔥🔥,follow best brand bag,"['follow', 'best', 'brand', 'bag']","['🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",pos,authentic.kusadasi,[]
34,Lbbb,lbbb,['lbbb'],[],neu,jj.enggggg,[]
35,Row,row,['row'],[],neu,jj.enggggg,[]
36,Fl,fl,['fl'],[],neu,edmundlwx,[]
37,Amazing colours,amaz colour,"['amaz', 'colour']",[],neu,im.anter,[]
38,❤️,,[],['❤'],neu,shrreya_._,[]
39,H,h,['h'],[],neu,susmitabiswas330,[]
40,kendall you are incredible🥰,kendal incred,"['kendal', 'incred']",['🥰'],neu,relena.cr,[]
41,☂️💜,,[],"['☂', '💜']",neu,zistan_daroon,[]
42,❤️❤️❤️🔥🔥,,[],"['❤', '❤', '❤', '🔥', '🔥']",neu,mahesh_samra_0001,[]
43,789,789,['789'],[],neu,mahesh_samra_0001,[]
44,Only interested girls dm me !🔥🔥🔥,interest girl dm,"['interest', 'girl', 'dm']","['🔥', '🔥', '🔥']",neu,rock.z_10,[]
45,Collab? DM @balanziexpounder,collab dm,"['collab', 'dm']",[],neu,balanziexpounder,['balanziexpounder']
46,Looking great 👏,look great,"['look', 'great']",['👏'],pos,millionairereceipts,[]
47,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",neu,saratrancho,[]
48,❤️,,[],['❤'],neu,xatun9319,[]
49,I love you jaaaan,love jaaaan,"['love', 'jaaaan']",[],pos,ravigautam9308,[]
50,command,command,['command'],[],neu,fucvjj,[]
51,momentous,moment,['moment'],[],neu,f0lil,[]
52,quizzical,quizzic,['quizzic'],[],neu,umka_181226,[]
53,❤️ohhhh harika,ohhhh harika,"['ohhhh', 'harika']",['❤'],neu,yasar_metehanoglu,[]
54,😍😍,,[],"['😍', '😍']",neu,nitin_warlekar_official_,[]
55,squash,squash,['squash'],[],neu,obraznow,[]
56,🙌rowssss,rowssss,['rowssss'],['🙌'],neu,thesaintmick,[]
57,1st back now😮‍💨😮‍💨😮‍💨,1st back,"['1st', 'back']","['😮', '💨', '😮', '💨', '😮', '💨']",neu,thesaintmick,[]
58,🥰🤍,,[],"['🥰', '🤍']",neu,lili.bxth,[]
59,😍,,[],['😍'],neu,lili.bxth,[]
60,fluffy,fluffi,['fluffi'],[],neu,catherine_miguel12,[]
61,9571276853📲👈,9571276853,['9571276853'],"['📲', '👈']",neu,nadkhan2219,[]
62,ajar,ajar,['ajar'],[],neu,7pls28,[]
63,Hi,hi,['hi'],[],neu,nadkhan2219,[]
64,😍,,[],['😍'],neu,nadkhan2219,[]
65,🙌❤️,,[],"['🙌', '❤']",neu,nadkhan2219,[]
66,🙌nice,nice,['nice'],['🙌'],neu,eh646233,[]
67,RECENT 4 RECENT,recent 4 recent,"['recent', '4', 'recent']",[],neu,mehdiimn,[]
68,ROWS ONLY,row,['row'],[],neu,mehdiimn,[]
69,LB INSTANTLY,lb instantli,"['lb', 'instantli']",[],neu,mehdiimn,[]
70,LB LB LB LB,lb lb lb lb,"['lb', 'lb', 'lb', 'lb']",[],neu,mehdiimn,[]
71,Lbbb,lbbb,['lbbb'],[],neu,qarinquluuxxll,[]
72,cave,cave,['cave'],[],neu,vijaybhilamarathe,[]
73,😍😍,,[],"['😍', '😍']",neu,dill_13__,[]
74,Miriiipp @eri.carl,miriiipp,['miriiipp'],[],neu,monoymoney,['eri.carl']
75,Sexy and so beautiful ❤️😍,sexi beauti,"['sexi', 'beauti']","['❤', '😍']",neu,mink_kie,[]
76,smash,smash,['smash'],[],neu,harishrathore530,[]
77,Lb,lb,['lb'],[],neu,emmashuard_,[]
78,structure,structur,['structur'],[],neu,sanjusawale5,[]
79,occur,occur,['occur'],[],neu,ashapawanthakur,[]
80,grape,grape,['grape'],[],neu,si.taram17,[]
81,🔥🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",neu,redphoto12,[]
82,😍😍,,[],"['😍', '😍']",neu,alejandrothegreat1988,[]
83,unarmed,unarm,['unarm'],[],neu,rakesh.nayma,[]
84,Row ❤️,row,['row'],['❤'],neu,jennyduranduran_,[]
85,LBB ❤️,lbb,['lbb'],['❤'],neu,jennyduranduran_,[]
86,Row,row,['row'],[],neu,jennyduranduran_,[]
87,Firsts ❤️,first,['first'],['❤'],neu,jennyduranduran_,[]
88,Lb ❤️,lb,['lb'],['❤'],neu,jennyduranduran_,[]
89,Firsts 🔥,first,['first'],['🔥'],neu,jennyduranduran_,[]
90,Row ❤️,row,['row'],['❤'],neu,jennyduranduran_,[]
91,Lb ❤️,lb,['lb'],['❤'],neu,jennyduranduran_,[]
92,caring,care,['care'],[],neu,mohdwali8,[]
93,لباساشون پاره پوره شده زیبایی خاصی بهشون داده خخخخ,,[],[],neu,niki.accessory1,[]
94,زیبا,,[],[],neu,niki.accessory1,[]
95,pot,pot,['pot'],[],neu,mahikhan4545,[]
96,Кой алмыз🔥,,[],['🔥'],neu,abilovva_merie,[]
97,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",neu,jenncoello16,[]
98,R😍w,rw,['rw'],['😍'],neu,jenncoello16,[]
99,Hi🔥,hi,['hi'],['🔥'],neu,secondaccountofmine_,[]
100,Haii,haii,['haii'],[],neu,omio86504,[]
101,Gorgeous 🔥,gorgeou,['gorgeou'],['🔥'],neu,bundick.lisa,[]
102,row 🥺,row,['row'],['🥺'],neu,jamieeelee_,[]
103,❤️,,[],['❤'],neu,gryaajuyettnaadim,[]
104,travel,travel,['travel'],[],neu,dunkg3,[]
105,Love you Kendall 👏👏👏❤️❤️❤️,love kendal,"['love', 'kendal']","['👏', '👏', '👏', '❤', '❤', '❤']",pos,mmartin2k14y,[]
106,😍😍😍😍😍😍,,[],"['😍', '😍', '😍', '😍', '😍', '😍']",neu,jenncoello16,[]
107,Row,row,['row'],[],neu,jenncoello16,[]
108,Row for row 💛❤️🧡💙💚,row row,"['row', 'row']","['💛', '❤', '🧡', '💙', '💚']",neu,justafewbeans,[]
109,Lb 💙💚🧡💛❤️,lb,['lb'],"['💙', '💚', '🧡', '💛', '❤']",neu,justafewbeans,[]
110,🔥🔥👏👏❤️❤️,,[],"['🔥', '🔥', '👏', '👏', '❤', '❤']",neu,_gaurav_thakare_46,[]
111,@aldrich.blue,,[],[],neu,esbeidi.vs,['aldrich.blue']
