,comment,cl_comment,wordlist,emojis,sent,user,mentioned
0,The dresses look strange!,dress look strang,"['dress', 'look', 'strang']",[],pos,cappuccino_after_lunch,[]
1,LBLBLBLB ❤️❤️❤️,lblblblb,['lblblblb'],"['❤', '❤', '❤']",pos,isherrific,[]
2,LBLBLBLB ❤️❤️,lblblblb,['lblblblb'],"['❤', '❤']",pos,isherrific,[]
3,❤️,,[],['❤'],pos,nicole_elizibath,[]
4,Lb~,lb,['lb'],[],pos,luciaburana,[]
5,Lb,lb,['lb'],[],pos,rckcrpio,[]
6,Lb,lb,['lb'],[],pos,rckcrpio,[]
7,Lb,lb,['lb'],[],pos,rckcrpio,[]
8,💗,,[],['💗'],pos,1710.94,[]
9,Check story 💛💛💛💛💛💛🤎💛💛🤎🤎🤎💛💛💛💛🤎🤎🤎🤎💛💛💛💛💛,check stori,"['check', 'stori']","['💛', '💛', '💛', '💛', '💛', '💛', '🤎', '💛', '💛', '🤎', '🤎', '🤎', '💛', '💛', '💛', '💛', '🤎', '🤎', '🤎', '🤎', '💛', '💛', '💛', '💛', '💛']",pos,yashii.paid.001,[]
10,Beautiful 🔥,beauti,['beauti'],['🔥'],pos,arad_shakh30,[]
11,Lb,lb,['lb'],[],pos,rckcrpio,[]
12,LB,lb,['lb'],[],pos,rckcrpio,[]
13,LB,lb,['lb'],[],pos,rckcrpio,[]
14,LB,lb,['lb'],[],pos,rckcrpio,[]
15,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",pos,jiha.c,[]
16,Lb,lb,['lb'],[],pos,rckcrpio,[]
17,Lb,lb,['lb'],[],pos,rckcrpio,[]
18,Shatruhan Gupta,shatruhan gupta,"['shatruhan', 'gupta']",[],pos,shatruhan119,[]
19,Shatruhan Gupta,shatruhan gupta,"['shatruhan', 'gupta']",[],pos,shatruhan119,[]
20,Ok KeKe,ok keke,"['ok', 'keke']",[],pos,tralocc,[]
21,👏👏🔥🙌❤️😢😍😮😂,,[],"['👏', '👏', '🔥', '🙌', '❤', '😢', '😍', '😮', '😂']",pos,shatruhan119,[]
22,LB,lb,['lb'],[],pos,rckcrpio,[]
23,oчень кpyто,py,['py'],[],pos,yuste__i9z80,[]
24,LB,lb,['lb'],[],pos,rckcrpio,[]
25,oчень кpуто,p,['p'],[],pos,burtschi.uw5y66,[]
26,"Can I get both or do I have to pick one, LOL",get pick one lol,"['get', 'pick', 'one', 'lol']",[],pos,ricosmooth47,[]
27,itch,itch,['itch'],[],pos,larrychucks1,[]
28,well-off,welloff,['welloff'],[],pos,fi_del3986,[]
29,Hiii,hiii,['hiii'],[],pos,mdshahrukh798,[]
30,rings,ring,['ring'],[],pos,valhermiya,[]
31,🔥🔥,,[],"['🔥', '🔥']",pos,lili.bxth,[]
32,Lb,lb,['lb'],[],pos,lili.bxth,[]
33,follow for the best and brand bags🔥🔥🔥🔥🔥🔥🔥,follow best brand bag,"['follow', 'best', 'brand', 'bag']","['🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",pos,authentic.kusadasi,[]
34,Lbbb,lbbb,['lbbb'],[],pos,jj.enggggg,[]
35,Row,row,['row'],[],pos,jj.enggggg,[]
36,Fl,fl,['fl'],[],pos,edmundlwx,[]
37,Amazing colours,amaz colour,"['amaz', 'colour']",[],pos,im.anter,[]
38,❤️,,[],['❤'],pos,shrreya_._,[]
39,H,h,['h'],[],pos,susmitabiswas330,[]
40,kendall you are incredible🥰,kendal incred,"['kendal', 'incred']",['🥰'],pos,relena.cr,[]
41,☂️💜,,[],"['☂', '💜']",pos,zistan_daroon,[]
42,❤️❤️❤️🔥🔥,,[],"['❤', '❤', '❤', '🔥', '🔥']",pos,mahesh_samra_0001,[]
43,789,789,['789'],[],pos,mahesh_samra_0001,[]
44,Only interested girls dm me !🔥🔥🔥,interest girl dm,"['interest', 'girl', 'dm']","['🔥', '🔥', '🔥']",pos,rock.z_10,[]
45,Collab? DM @balanziexpounder,collab dm,"['collab', 'dm']",[],pos,balanziexpounder,['balanziexpounder']
46,Looking great 👏,look great,"['look', 'great']",['👏'],pos,millionairereceipts,[]
47,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,saratrancho,[]
48,❤️,,[],['❤'],pos,xatun9319,[]
49,I love you jaaaan,love jaaaan,"['love', 'jaaaan']",[],pos,ravigautam9308,[]
50,command,command,['command'],[],pos,fucvjj,[]
51,momentous,moment,['moment'],[],pos,f0lil,[]
52,quizzical,quizzic,['quizzic'],[],pos,umka_181226,[]
53,❤️ohhhh harika,ohhhh harika,"['ohhhh', 'harika']",['❤'],pos,yasar_metehanoglu,[]
54,😍😍,,[],"['😍', '😍']",pos,nitin_warlekar_official_,[]
55,squash,squash,['squash'],[],pos,obraznow,[]
56,🙌rowssss,rowssss,['rowssss'],['🙌'],pos,thesaintmick,[]
57,1st back now😮‍💨😮‍💨😮‍💨,1st back,"['1st', 'back']","['😮', '💨', '😮', '💨', '😮', '💨']",pos,thesaintmick,[]
58,🥰🤍,,[],"['🥰', '🤍']",pos,lili.bxth,[]
59,😍,,[],['😍'],pos,lili.bxth,[]
60,fluffy,fluffi,['fluffi'],[],pos,catherine_miguel12,[]
61,9571276853📲👈,9571276853,['9571276853'],"['📲', '👈']",pos,nadkhan2219,[]
62,ajar,ajar,['ajar'],[],pos,7pls28,[]
63,Hi,hi,['hi'],[],pos,nadkhan2219,[]
64,😍,,[],['😍'],pos,nadkhan2219,[]
65,🙌❤️,,[],"['🙌', '❤']",pos,nadkhan2219,[]
66,🙌nice,nice,['nice'],['🙌'],pos,eh646233,[]
67,RECENT 4 RECENT,recent 4 recent,"['recent', '4', 'recent']",[],pos,mehdiimn,[]
68,ROWS ONLY,row,['row'],[],pos,mehdiimn,[]
69,LB INSTANTLY,lb instantli,"['lb', 'instantli']",[],pos,mehdiimn,[]
70,LB LB LB LB,lb lb lb lb,"['lb', 'lb', 'lb', 'lb']",[],pos,mehdiimn,[]
71,Lbbb,lbbb,['lbbb'],[],pos,qarinquluuxxll,[]
72,cave,cave,['cave'],[],pos,vijaybhilamarathe,[]
73,😍😍,,[],"['😍', '😍']",pos,dill_13__,[]
74,Miriiipp @eri.carl,miriiipp,['miriiipp'],[],pos,monoymoney,['eri.carl']
75,Sexy and so beautiful ❤️😍,sexi beauti,"['sexi', 'beauti']","['❤', '😍']",pos,mink_kie,[]
76,smash,smash,['smash'],[],pos,harishrathore530,[]
77,Lb,lb,['lb'],[],pos,emmashuard_,[]
78,structure,structur,['structur'],[],pos,sanjusawale5,[]
79,occur,occur,['occur'],[],pos,ashapawanthakur,[]
80,grape,grape,['grape'],[],pos,si.taram17,[]
81,🔥🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",pos,redphoto12,[]
82,😍😍,,[],"['😍', '😍']",pos,alejandrothegreat1988,[]
83,unarmed,unarm,['unarm'],[],pos,rakesh.nayma,[]
84,Row ❤️,row,['row'],['❤'],pos,jennyduranduran_,[]
85,LBB ❤️,lbb,['lbb'],['❤'],pos,jennyduranduran_,[]
86,Row,row,['row'],[],pos,jennyduranduran_,[]
87,Firsts ❤️,first,['first'],['❤'],pos,jennyduranduran_,[]
88,Lb ❤️,lb,['lb'],['❤'],pos,jennyduranduran_,[]
89,Firsts 🔥,first,['first'],['🔥'],pos,jennyduranduran_,[]
90,Row ❤️,row,['row'],['❤'],pos,jennyduranduran_,[]
91,Lb ❤️,lb,['lb'],['❤'],pos,jennyduranduran_,[]
92,caring,care,['care'],[],pos,mohdwali8,[]
93,لباساشون پاره پوره شده زیبایی خاصی بهشون داده خخخخ,,[],[],pos,niki.accessory1,[]
94,زیبا,,[],[],pos,niki.accessory1,[]
95,pot,pot,['pot'],[],pos,mahikhan4545,[]
96,Кой алмыз🔥,,[],['🔥'],pos,abilovva_merie,[]
97,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,jenncoello16,[]
98,R😍w,rw,['rw'],['😍'],pos,jenncoello16,[]
99,Hi🔥,hi,['hi'],['🔥'],pos,secondaccountofmine_,[]
100,Haii,haii,['haii'],[],pos,omio86504,[]
101,Gorgeous 🔥,gorgeou,['gorgeou'],['🔥'],pos,bundick.lisa,[]
102,row 🥺,row,['row'],['🥺'],pos,jamieeelee_,[]
103,❤️,,[],['❤'],pos,gryaajuyettnaadim,[]
104,travel,travel,['travel'],[],pos,dunkg3,[]
105,Love you Kendall 👏👏👏❤️❤️❤️,love kendal,"['love', 'kendal']","['👏', '👏', '👏', '❤', '❤', '❤']",pos,mmartin2k14y,[]
106,😍😍😍😍😍😍,,[],"['😍', '😍', '😍', '😍', '😍', '😍']",pos,jenncoello16,[]
107,Row,row,['row'],[],pos,jenncoello16,[]
108,Row for row 💛❤️🧡💙💚,row row,"['row', 'row']","['💛', '❤', '🧡', '💙', '💚']",pos,justafewbeans,[]
109,Lb 💙💚🧡💛❤️,lb,['lb'],"['💙', '💚', '🧡', '💛', '❤']",pos,justafewbeans,[]
110,🔥🔥👏👏❤️❤️,,[],"['🔥', '🔥', '👏', '👏', '❤', '❤']",pos,_gaurav_thakare_46,[]
111,@aldrich.blue,,[],[],pos,esbeidi.vs,['aldrich.blue']
112,"👇👇👇
:
┊┊┊✥
┊┊✥
┊✥
l👌#سٌـْـُـُـْـُلٌاٌمِ دًوّسٍتُـْـَـٌـُـًـّ عٌزِیُـُـِـّزً
l👌#ًپْسُتِـْـٌـٍـٌـْاٍتٍوّنَ لّاٍیَکَـَـٌـُـْـْ بِـّاّرَوْنٍ
I👌#ْعّـَاٌلِـٍـًـٍـٌـٌـٍـٍـٌـُـٌـِـُـٌـٌیً هَسْـِـَتْـٍیٌ
┊✥
┊┊✥
┊┊┊✥
➖👏➖
┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊✥
🌟┈█████
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█.█.█.█.█
🌟┈█▓💚💚💚💚💚.█
🌟┈‌‌█████████
┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟---███████
🌟---█▓❤️❤️❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟---█▓❤️❤️❤️█
🌟---███████
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟┈█████------------██‌█
🌟┈█▓💛█-----------█💛‌█
🌟┈█▓💛█---------█💛█
🌟┈█▓💛█-------█💛█
🌟┈█▓💛█----█💛█
🌟┈█▓💛█--█💛█
🌟┈█▓💛█-█💛█
🌟┈█▓💛█---█💛█
🌟┈█▓💛█-----█💛█
🌟┈█▓💛█-------█💛█
🌟┈█▓💛█---------█💛█
🌟┈█▓💛█-----------█💛█
🌟---████--------------███
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟┈█████████
🌟┈█▓💜💜💜💜💜.█
🌟┈█▓💜█.█.█.█.█
🌟┈█▓💜█
🌟┈█▓💜█.█.█.█
🌟┈█▓💜💜💜💜█
🌟┈█▓💜█.█.█.█
🌟┈█▓💜█
🌟┈█▓💜█.█.█.█.‌‌█
🌟┈█▓💜💜💜💜💜.█
🌟┈█████████
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
➖👏➖
┊┊┊✥
┊┊✥
┊✥
I👌#سٌـْـُـُـْـُلٌاٌمِ دًوّسٍتُـْـَـٌـُـًـّ عٌزِیُـُـِـّزً
l👌#ًپْسُتِـْـٌـٍـٌـْاٍتٍوّنَ لّاٍیَکَـَـٌـُـْـْ بِـّاّرَوْنٍ
l👌#ْعّـَاٌلِـٍـًـٍـٌـٌـٍـٍـٌـُـٌـِـُـٌـٌیً هَسْـِـَتْـٍیٌ ┊✥
┊┊✥
┊┊┊✥",l l l l,"['l', 'l', 'l', 'l']","['👇', '👇', '👇', '👌', '👌', '👌', '➖', '👏', '➖', '🌟', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '💚', '💚', '💚', '💚', '🌟', '🌟', '🌟', '❤', '❤', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '❤', '❤', '🌟', '🌟', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '🌟', '🌟', '💜', '💜', '💜', '💜', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '💜', '💜', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '💜', '💜', '💜', '💜', '🌟', '➖', '👏', '➖', '👌', '👌', '👌']",pos,ha3an_bal0ch,[]
113,Sizzling & Sexxxy,sizzl sexxxi,"['sizzl', 'sexxxi']",[],pos,ashutoshsrivas,[]
114,🔥,,[],['🔥'],pos,sofiapacheco643,[]
115,Lb,lb,['lb'],[],pos,and.last.night.she.dreamt,[]
