,comment,cl_comment,user,sent
0,The dresses look strange!,dress look strang,cappuccino_after_lunch,0.0
1,LBLBLBLB ❤️❤️❤️,lblblblb,isherrific,0.0
2,LBLBLBLB ❤️❤️,lblblblb,isherrific,0.0
3,❤️,,nicole_elizibath,0.0
4,Lb~,lb,luciaburana,0.0
5,Lb,lb,rckcrpio,0.0
6,Lb,lb,rckcrpio,0.0
7,Lb,lb,rckcrpio,0.0
8,💗,,1710.94,0.0
9,Check story 💛💛💛💛💛💛🤎💛💛🤎🤎🤎💛💛💛💛🤎🤎🤎🤎💛💛💛💛💛,check stori,yashii.paid.001,0.0
10,Beautiful 🔥,beauti,arad_shakh30,0.0
11,Lb,lb,rckcrpio,0.0
12,LB,lb,rckcrpio,0.0
13,LB,lb,rckcrpio,0.0
14,LB,lb,rckcrpio,0.0
15,🔥🔥🔥🔥🔥,,jiha.c,0.0
16,Lb,lb,rckcrpio,0.0
17,Lb,lb,rckcrpio,0.0
18,Shatruhan Gupta,shatruhan gupta,shatruhan119,0.0
19,Shatruhan Gupta,shatruhan gupta,shatruhan119,0.0
20,Ok KeKe,ok keke,tralocc,0.5
21,👏👏🔥🙌❤️😢😍😮😂,,shatruhan119,0.0
22,LB,lb,rckcrpio,0.0
23,oчень кpyто,py,yuste__i9z80,0.0
24,LB,lb,rckcrpio,0.0
25,oчень кpуто,p,burtschi.uw5y66,0.0
26,"Can I get both or do I have to pick one, LOL",get pick one lol,ricosmooth47,0.8
27,itch,itch,larrychucks1,0.0
28,well-off,well,fi_del3986,0.0
29,Hiii,hiii,mdshahrukh798,0.0
30,rings,ring,valhermiya,0.0
31,🔥🔥,,lili.bxth,0.0
32,Lb,lb,lili.bxth,0.0
33,follow for the best and brand bags🔥🔥🔥🔥🔥🔥🔥,follow best brand bag,authentic.kusadasi,1.0
34,Lbbb,lbbb,jj.enggggg,0.0
35,Row,row,jj.enggggg,0.0
36,Fl,fl,edmundlwx,0.0
37,Amazing colours,amaz colour,im.anter,0.0
38,❤️,,shrreya_._,0.0
39,H,h,susmitabiswas330,0.0
40,kendall you are incredible🥰,kendal incred,relena.cr,0.0
41,☂️💜,,zistan_daroon,0.0
42,❤️❤️❤️🔥🔥,,mahesh_samra_0001,0.0
43,789,789,mahesh_samra_0001,0.0
44,Only interested girls dm me !🔥🔥🔥,interest girl dm,rock.z_10,0.0
45,Collab? DM @balanziexpounder,collab dm balanziexpound,balanziexpounder,0.0
46,Looking great 👏,look great,millionairereceipts,0.8
47,😍😍😍😍,,saratrancho,0.0
48,❤️,,xatun9319,0.0
49,I love you jaaaan,love jaaaan,ravigautam9308,0.5
50,command,command,fucvjj,0.0
