,comment,cl_comment,user,sent
0,"Sinceramente me gustas más sin maquillaje,tienes una belleza natural innata.😍😍😍😍😍😍😍😍",sinceramente gustas m s maquillaje belleza natural innata,albertopazos75,0.23581540714116841
1,🔥🔥🔥🔥🔥,,shahab.brt,0.49789225920557484
2,"No se puede decir que este serún haga este milagro. Pilar Rubio tiene varios arreglos tratamientos de Cabina etc. Que ayuda, si. Pero nada más.",puede decir ser n haga milagro pilar rubio varios arreglos tratamientos cabina etc ayuda si m s,angeles.gonzalezgarcia,0.10401070619933653
3,Si ya eres mayorcita no pretendas aparentar 25 😂😂😂 es lo que hay,si mayorcita pretendas aparentar 25,mariquillafm_,0.3318228626708164
4,Puffff cuánto maquillaje madre mía y por no decir del filtro que usas a quien quieres engañar!!!!!!🤣@pilarrubio,puffff cu nto maquillaje madre m decir filtro usas quieres enga ar pilarrubio,vallonevicino,0.13950377972562122
5,Exprés?,expr s,soybeatrizmiranda,0.49789225920557484
6,Tb vale para los hombres ?,tb vale hombres,joseignacio7022,0.43796879524747484
7,Bellísima 🔥,bell sima,rossi.dance,0.49789225920557484
8,You are perfect already and don't need maquillage..👏,you are perfect already and don t need maquillage,instamamma76,0.49789225920557484
9,"Pilar eres guapísima!! Pero cada vez eres menos tú, te parece más a todas las operadas, boca y nariz de catálogo, es una pena todas la caras iguales, sin personalidad",pilar guap sima cada vez menos t parece m s todas operadas boca nariz cat logo pena todas caras iguales personalidad,lolamugicafernandez,0.023976564241858598
10,🤍,,_ghazaleh79,0.49789225920557484
11,"Exacta quedó, ella q de por si no necesita maquillaje muy guapa!",exacta qued q si necesita maquillaje guapa,jeannettekury,0.21682542490020712
12,tus ojos son tan hermosos😍😍😍😍😍❤️❤️❤️❤️❤️,ojos tan hermosos,aymenkitar,0.30112833850980847
13,🔥,,sergeykrupickiy,0.49789225920557484
14,Increible gracias por comoartirtus beauty secrets♥♡,increible gracias comoartirtus beauty secrets,gsilvaferro,0.7650136407925322
15,👏❤️Me encanta y con qué rapidez eres súper fantástica. Gracias Pilar por tu demostración personal y consejos a seguir Tu lo Vales,encanta qu rapidez s per fant stica gracias pilar demostraci n personal consejos seguir vales,rosamari.garciafernandez.33,0.958516822125618
16,Y botox...no nos olvidemos del maravilloso botox,botox olvidemos maravilloso botox,melanimanza,0.9496372501312157
17,Y botox...no nos olvidemos del maravilloso botox,botox olvidemos maravilloso botox,melanimanza,0.9496372501312157
18,La base cual es ? Botox? Se te está yendo de las manos no hay ni una expresión en la cara,base botox est yendo manos expresi n cara,vanes_rid,0.1584878597587964
19,Beautiful ❤️,beautiful,itzluna.iba,0.49789225920557484
20,Se aplica serio sobre el rostro maquillado ⁉️😲😲,aplica serio rostro maquillado,sonia_fabero72,0.49789225920557484
21,@sonia_fabero72 SERUM,serum,sonia_fabero72,0.49789225920557484
22,Todo para nada los años no perdona,perdona,miguelangelgarciacamacho5,0.49789225920557484
23,Mas perfecta imposible,mas perfecta imposible,el_caballero_2000,0.7457476806358504
24,Son Oscar Mayer o Campofrio? Ni oficio ni beneficio,oscar mayer campofrio oficio beneficio,bollinger76,0.49789225920557484
25,Guapísima reina!!!,guap sima reina,pitota3,0.49789225920557484
