,comment,cl_comment,wordlist,emojis,sent,user,mentioned
0,"Sinceramente me gustas más sin maquillaje,tienes una belleza natural innata.😍😍😍😍😍😍😍😍",sincerament gusta ms maquillaj belleza natur innata,"['sincerament', 'gusta', 'ms', 'maquillaj', 'belleza', 'natur', 'innata']","['😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍']",neu,albertopazos75,[]
1,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",neu,shahab.brt,[]
2,"No se puede decir que este serún haga este milagro. Pilar Rubio tiene varios arreglos tratamientos de Cabina etc. Que ayuda, si. Pero nada más.",pued decir sern haga milagro pilar rubio vario arreglo tratamiento cabina etc ayuda si ms,"['pued', 'decir', 'sern', 'haga', 'milagro', 'pilar', 'rubio', 'vario', 'arreglo', 'tratamiento', 'cabina', 'etc', 'ayuda', 'si', 'ms']",[],neg,angeles.gonzalezgarcia,[]
3,Si ya eres mayorcita no pretendas aparentar 25 😂😂😂 es lo que hay,si mayorcita pretenda aparentar 25,"['si', 'mayorcita', 'pretenda', 'aparentar', '25']","['😂', '😂', '😂']",neg,mariquillafm_,[]
4,Puffff cuánto maquillaje madre mía y por no decir del filtro que usas a quien quieres engañar!!!!!!🤣@pilarrubio,puffff cunto maquillaj madr ma decir filtro usa quier engaar,"['puffff', 'cunto', 'maquillaj', 'madr', 'ma', 'decir', 'filtro', 'usa', 'quier', 'engaar']",['🤣'],neg,vallonevicino,['pilarrubio']
5,Exprés?,expr,['expr'],[],neu,soybeatrizmiranda,[]
6,Tb vale para los hombres ?,tb vale hombr,"['tb', 'vale', 'hombr']",[],neu,joseignacio7022,[]
7,Bellísima 🔥,bellsima,['bellsima'],['🔥'],neu,rossi.dance,[]
8,You are perfect already and don't need maquillage..👏,you are perfect alreadi and do nt need maquillag,"['you', 'are', 'perfect', 'alreadi', 'and', 'do', 'nt', 'need', 'maquillag']",['👏'],neu,instamamma76,[]
9,"Pilar eres guapísima!! Pero cada vez eres menos tú, te parece más a todas las operadas, boca y nariz de catálogo, es una pena todas la caras iguales, sin personalidad",pilar guapsima cada vez meno t parec ms toda operada boca nariz catlogo pena toda cara igual personalidad,"['pilar', 'guapsima', 'cada', 'vez', 'meno', 't', 'parec', 'ms', 'toda', 'operada', 'boca', 'nariz', 'catlogo', 'pena', 'toda', 'cara', 'igual', 'personalidad']",[],neg,lolamugicafernandez,[]
10,🤍,,[],['🤍'],neu,_ghazaleh79,[]
11,"Exacta quedó, ella q de por si no necesita maquillaje muy guapa!",exacta qu q si necesita maquillaj guapa,"['exacta', 'qu', 'q', 'si', 'necesita', 'maquillaj', 'guapa']",[],neg,jeannettekury,[]
12,tus ojos son tan hermosos😍😍😍😍😍❤️❤️❤️❤️❤️,ojo tan hermoso,"['ojo', 'tan', 'hermoso']","['😍', '😍', '😍', '😍', '😍', '❤', '❤', '❤', '❤', '❤']",pos,aymenkitar,[]
13,🔥,,[],['🔥'],neu,sergeykrupickiy,[]
14,Increible gracias por comoartirtus beauty secrets♥♡,increibl gracia comoartirtu beauti secret,"['increibl', 'gracia', 'comoartirtu', 'beauti', 'secret']",['♥'],neu,gsilvaferro,[]
15,👏❤️Me encanta y con qué rapidez eres súper fantástica. Gracias Pilar por tu demostración personal y consejos a seguir Tu lo Vales,encanta qu rapidez sper fantstica gracia pilar demostracin person consejo seguir vale,"['encanta', 'qu', 'rapidez', 'sper', 'fantstica', 'gracia', 'pilar', 'demostracin', 'person', 'consejo', 'seguir', 'vale']","['👏', '❤']",neu,rosamari.garciafernandez.33,[]
16,Y botox...no nos olvidemos del maravilloso botox,botox olvidemo maravilloso botox,"['botox', 'olvidemo', 'maravilloso', 'botox']",[],pos,melanimanza,[]
17,Y botox...no nos olvidemos del maravilloso botox,botox olvidemo maravilloso botox,"['botox', 'olvidemo', 'maravilloso', 'botox']",[],pos,melanimanza,[]
18,La base cual es ? Botox? Se te está yendo de las manos no hay ni una expresión en la cara,base botox est yendo mano expresin cara,"['base', 'botox', 'est', 'yendo', 'mano', 'expresin', 'cara']",[],neg,vanes_rid,[]
