,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,Nice one,nice one,"['nice', 'one']", ,0.4215,pos,achodaemmanuelodey, ,0
1,😍❤️❤️, ,[],😍❤❤,0.7233702318521508,neu,prashants34542, ,0
2,I love This face 💞,love face,"['love', 'face']",💞,0.67205269286754,pos,imchurchgirlmary, ,0
3,HA HA HA HA HA NICE FIGURE SLIMFAST ANYONE.,ha ha ha ha ha nice figur slimfast anyon,"['ha', 'ha', 'ha', 'ha', 'ha', 'nice', 'figur', 'slimfast', 'anyon']", ,0.9153,pos,kill_all_americans, ,0
4,Hii,hii,['hii'], ,0.0,neu,milanroy1289, ,0
5,Oh no,oh no,"['oh', 'no']", ,-0.296,neu,mubarakali9073, ,0
6,👀, ,[],👀,0.0634146341463414,neu,cherrystreet50, ,0
7,👏🔥😢😮😮, ,[],👏🔥😢😮😮,0.24451280288416505,neu,naseer.nasee.5099, ,0
8,"Travis take care of that gem cause ive always said she is the most interesting of all her sisters 🤫 you and i little secret kourt, dont wanna hurt the other girls feelings 😉",travi take care gem caus ive alway said interest sister littl secret kourt dont wan na hurt girl feel,"['travi', 'take', 'care', 'gem', 'caus', 'ive', 'alway', 'said', 'interest', 'sister', 'littl', 'secret', 'kourt', 'dont', 'wan', 'na', 'hurt', 'girl', 'feel']",🤫😉,0.8204484155161078,pos,handler_man, ,0
9,بسیارعالی, ,[], ,0.0,neu,hdytllh4396, ,0
10,Dm @the_academy_of_art_,dm,['dm'], ,0.0,neu,sankar_insta,the_academy_of_art_ ,0
11,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,i_heartmyself15, ,0
12,"Ugliest dress ever.
The rest is ok 👏",ugliest dress ever rest ok,"['ugliest', 'dress', 'ever', 'rest', 'ok']",👏,-0.23140867579908675,neu,debbie.lloydzavala, ,0
13,❤️ LOVERBLE,loverbl,['loverbl'],❤,0.3730434782608696,neu,moz.amb, ,0
14,👙🤩🤤, ,[],👙🤩🤤,0.5405405405405406,neu,aykar219, ,0
15,Hi,hi,['hi'], ,0.0,neu,aykar219, ,0
16,😮, ,[],😮,0.2777777777777778,neu,subhampal687, ,0
17,😢, ,[],😢,0.0066755674232309,neu,khusravmunanvarov, ,0
18,Nice,nice,['nice'], ,0.4215,pos,arman_boy372, ,0
19,Wendar full,wendar full,"['wendar', 'full']", ,0.0,neu,mahendra.pratap.125760, ,0
20,Good,good,['good'], ,0.4404,pos,ramuthakadar, ,0
21,I love when you have no make up...,love no make,"['love', 'no', 'make']", ,0.4588,pos,heretobeareformer, ,0
22,Yep we can sure see everything haha,yep sure see everyth haha,"['yep', 'sure', 'see', 'everyth', 'haha']", ,0.7579,pos,tammyhavlick, ,0
23,Hi,hi,['hi'], ,0.0,neu,ahmed3961khan, ,0
24,.., ,[], ,0.0,neu,wasimakran553, ,0
25,🔥, ,[],🔥,0.1397849462365591,neu,usamarider76, ,0
26,Nice,nice,['nice'], ,0.4215,pos,usamarider76, ,0
27,🔥, ,[],🔥,0.1397849462365591,neu,sundayfelix354, ,0
28,Hi 😍,hi,['hi'],😍,0.33896839125648687,neu,sundayfelix354, ,1
29,🙌❤️❤️, ,[],🙌❤❤,0.6841996266143157,neu,robertlawson138, ,0
30,👍👍👍👍👍👍👍👍👍🖐🏿, ,[],👍👍👍👍👍👍👍👍👍🖐🏿,0.5221143473570659,neu,sheroz9277571, ,0
31,🤧🤧, ,[],🤧🤧,0.0,neu,confused_man_1, ,0
32,We can a friends,friend,['friend'], ,0.4939,pos,arman_offical_0044, ,0
33,Beautiful,beauti,['beauti'], ,0.0,neu,arman_offical_0044, ,0
34,Yikes,yike,['yike'], ,0.0,neu,stacyaw13, ,0
35,"Yes, please 😮",ye pleas,"['ye', 'pleas']",😮,0.09259259259259259,neu,stacyaw13, ,0
36,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,an_am9388, ,0
37,🔥🥰🥰🥰🥰😚👌 hiiii,hiiii,['hiiii'],🔥🥰🥰🥰🥰😚👌,0.3545420678766692,neu,santoah_jatav123, ,0
38,Kaise hain aap,kais hain aap,"['kais', 'hain', 'aap']", ,0.0,neu,deepakk0987324, ,0
39,🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳, ,[], ,0.0,neu,deepakk0987324, ,0
40,👏, ,[],👏,0.5205479452054794,neu,basid6434, ,0
41,Love,love,['love'], ,0.6369,pos,basid6434, ,0
42,Hi,hi,['hi'], ,0.0,neu,shameedushameedu, ,0
43,P,p,['p'], ,0.0,neu,ravinder9060kumar, ,0
44,❤️, ,[],❤,0.7460869565217392,neu,sur_ajkumar4745, ,0
45,Hii,hii,['hii'], ,0.0,neu,sur_ajkumar4745, ,0
46,❤️, ,[],❤,0.7460869565217392,neu,rohan.halder.75839, ,0
47,Hii,hii,['hii'], ,0.0,neu,rohan.halder.75839, ,0
48,Pretty hot 😍😍😋,pretti hot,"['pretti', 'hot']",😍😍😋,0.39787771028039387,neu,sh.ami1945, ,0
49,😍😍nice,nice,['nice'],😍😍,0.5924578550086491,pos,haldiramb, ,0
50,wow amazing looking happy and filled out now you have your love,wow amaz look happi fill love,"['wow', 'amaz', 'look', 'happi', 'fill', 'love']", ,0.8402,pos,brianna_of_tarth, ,0
51,🙌❤️, ,[],🙌❤,0.653255961660604,neu,mdsahid9814, ,0
52,Hoi,hoi,['hoi'], ,0.0,neu,mdsahid9814, ,0
53,Hoi,hoi,['hoi'], ,0.0,neu,mdsahid9814, ,0
54,❤️❤️, ,[],❤❤,0.7460869565217392,neu,hmdkhdyrlhyny, ,0
55,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,khanrizvan142, ,0
56,MM,mm,['mm'], ,0.0,neu,thakoemahesh420, ,0
57,XxxXxxx,xxxxxxx,['xxxxxxx'], ,0.0,neu,kamlieshram, ,0
58,Xxxx,xxxx,['xxxx'], ,0.0,neu,kamlieshram, ,0
59,So beautiful😍😍😍😍😍,beauti,['beauti'],😍😍😍😍😍,0.5649473187608115,neu,kamalraja8797, ,0
60,الوو, ,[], ,0.0,neu,ymnlfkhnylkhtry, ,0
61,Sv,sv,['sv'], ,0.0,neu,mymn9770, ,0
62,Sisi🔥🔥,sisi,['sisi'],🔥🔥,0.09318996415770606,neu,gron_takaliken, ,0
63,7305852230, ,[], ,0.0,neu,sqwwe.e, ,0
64,🔥 🤘🏻🤘🏻, ,[],🔥🤘🏻🤘🏻,0.1397849462365591,neu,bernerespinoza, ,0
65,🔥, ,[],🔥,0.1397849462365591,neu,bernerespinoza, ,0
66,Nice,nice,['nice'], ,0.4215,pos,sketch_art_vikrant, ,0
67,👏👏👏👏👏👏, ,[],👏👏👏👏👏👏,0.5205479452054794,neu,goreyshibabak, ,0
