,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,Nice girl,nice girl,"['nice', 'girl']", ,0.4215,pos,mokobily_tag, ,0
1,"Fdifkxlcodn, ja",fdifkxlcodn ja,"['fdifkxlcodn', 'ja']", ,0.0,neu,70614_30392, ,1
2,Hi baby,hi babi,"['hi', 'babi']", ,0.0,neu,tonishku6204, ,0
3,Linda ❤️,linda,['linda'],❤,0.3730434782608696,neu,sissy.almeida, ,1
4,❤️, ,[],❤,0.7460869565217392,neu,nbborahnbborah, ,0
5,❤️, ,[],❤,0.7460869565217392,neu,nbborahnbborah, ,0
6,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,tan.ha5944, ,0
7,Hiii,hiii,['hiii'], ,0.0,neu,roshanashokramramteke, ,0
8,Wow you outdid yourself that looks nice,wow outdid look nice,"['wow', 'outdid', 'look', 'nice']", ,0.765,pos,abrianguerrer1, ,0
9,Bonjour Madame,bonjour madam,"['bonjour', 'madam']", ,0.0,neu,remiwilleval7gmail.com8, ,0
10,❤️🧡💛💚💜💜🤎🖤, ,[],❤🧡💛💚💜💜🤎🖤,0.6859926994283123,neu,15.348224, ,0
11,Wwwxxxx❤️,wwwxxxx,['wwwxxxx'],❤,0.3730434782608696,neu,azeemali7399, ,0
12,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,palaciosraul57, ,0
13,🔥🔥🔥, ,[],🔥🔥🔥,0.1397849462365591,neu,thisismeechi, ,0
14,😍😍😍😍😍😍😍, ,[],😍😍😍😍😍😍😍,0.6779367825129736,neu,sh.erlyn1902, ,0
15,Wa,wa,['wa'], ,0.0,neu,chibiyuinaeagle, ,1
16,😍😍, ,[],😍😍,0.6779367825129737,neu,chibiyuinaeagle, ,0
17,Hi,hi,['hi'], ,0.0,neu,s.b.chaubey4, ,0
18,Hi butterfly you looking fine,hi butterfli look fine,"['hi', 'butterfli', 'look', 'fine']", ,0.2023,neu,kenrickdalling, ,0
19,مش ضروري الكلسون والستيانة بلاهن, ,[], ,0.0,neu,lysyn2869, ,0
20,Cjvc,cjvc,['cjvc'], ,0.0,neu,masud7330rana, ,0
21,Love you,love,['love'], ,0.6369,pos,abhisingh.tomar.399, ,0
22,WoW❤️,wow,['wow'],❤,0.6659934782608696,pos,jodie.e17, ,1
23,😮, ,[],😮,0.2777777777777778,neu,ahmetahmet189547, ,0
24,Salom,salom,['salom'], ,0.0,neu,rozmetov1949, ,0
25,💕😘💕😘💕😘💕😘😍💙😍😍💕😘💕😘😘, ,[],💕😘💕😘💕😘💕😘😍💙😍😍💕😘💕😘😘,0.6750615993908343,neu,folgarjhims, ,0
26,Umezidi,umezidi,['umezidi'], ,0.0,neu,anethmalingila, ,0
27,❤️Секс сыймбыл.👍👍👍👍😍, ,[],❤👍👍👍👍😍,0.585413521410496,neu,kospanov.talgat, ,0
28,Shankar Kumar,shankar kumar,"['shankar', 'kumar']", ,0.0,neu,kumshankarar, ,0
29,Shankar Kumar,shankar kumar,"['shankar', 'kumar']", ,0.0,neu,kumshankarar, ,0
30,😍, ,[],😍,0.6779367825129737,neu,tommybenavidez77, ,0
31,🔥, ,[],🔥,0.1397849462365591,neu,tommybenavidez77, ,0
32,😤😤😤😤😂😂😂😂😂, ,[],😤😤😤😤😂😂😂😂😂,0.028978369069773344,neu,safar.afshari, ,0
33,ஒழுக்க வரியா, ,[], ,0.0,neu,pushparaj1634, ,0
34,Oracle,oracl,['oracl'], ,0.0,neu,pushparaj1634, ,1
35,Hallo,hallo,['hallo'], ,0.0,neu,lastpro553, ,1
36,عکسسکستوبفرستدوستتدارم, ,[], ,0.0,neu,hossen.1994.1373, ,0
37,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍❤️, ,[],❤❤❤❤❤❤❤❤❤❤❤❤❤😍😍😍😍❤,0.7309424734086805,neu,its_pk_0002, ,0
38,👏👏, ,[],👏👏,0.5205479452054794,neu,lwyjwad20, ,0
39,bonsoir jolie cours,bonsoir joli cour,"['bonsoir', 'joli', 'cour']", ,0.0,neu,faridch607, ,0
40,Hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,"['hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot', 'hot']", ,0.0,neu,ubaid_ullah25, ,0
41,❤️, ,[],❤,0.7460869565217392,neu,mohlex1234, ,0
42,Take care,take care,"['take', 'care']", ,0.4939,pos,pareshmohanty82, ,0
43,❤️❤️❤️❤️❤️🔥🔥, ,[],❤❤❤❤❤🔥🔥,0.5728578107259734,neu,mmizoh, ,0
44,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🔥, ,[],❤❤❤❤❤❤❤❤❤❤🔥,0.6909685919503592,neu,ydlmldyn, ,0
45,ملبن.وعسل وقشطة, ,[], ,0.0,neu,ydlmldyn, ,0
46,I love tum jaan,love tum jaan,"['love', 'tum', 'jaan']", ,0.6369,pos,hathiladilipkumarr, ,0
47,😍🔥🔥🔥🔥🔥🔥🔥❤️, ,[],😍🔥🔥🔥🔥🔥🔥🔥❤,0.26694648474340293,neu,shiz_uka353, ,1
48,Xxx,xxx,['xxx'], ,0.0,neu,roya_lking770, ,1
49,माहिती कपडे काढून, ,[], ,0.0,neu,vaibhavbangepatil, ,0
50,Tira o resto da roupa lindona,tira resto da roupa lindona,"['tira', 'resto', 'da', 'roupa', 'lindona']", ,0.0,neu,jose.carreira.50159, ,0
51,Xxx,xxx,['xxx'], ,0.0,neu,tulaaraam78, ,0
52,😍😢😂🔥❤️, ,[],😍😢😂🔥❤,0.35829053129392724,neu,naitikkhermode, ,0
53,😍😍😍😍, ,[],😍😍😍😍,0.6779367825129737,neu,pankaj_ahirwar_12358, ,0
54,I love you❤️😍,love,['love'],❤😍,0.6869745796782376,pos,santoshsahuji1990, ,0
55,👏👏👏👏👏, ,[],👏👏👏👏👏,0.5205479452054794,neu,buoredaniel, ,0
