,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,K pasas foto,k pasa foto,"['k', 'pasa', 'foto']", ,0.0,neu,izaakdiazsanchez9, ,0
1,Parabéns meu amor,parabn meu amor,"['parabn', 'meu', 'amor']", ,0.6124,pos,marcos.marcosantoniodesouza, ,0
2,🔥🔥, ,[],🔥🔥,0.1397849462365591,neu,remadelap62022, ,0
3,فیلمسوفر, ,[], ,0.0,neu,wmhmdy488, ,0
4,فزلمسوفر, ,[], ,0.0,neu,wmhmdy488, ,0
5,What a poj,poj,['poj'], ,0.0,neu,navjot_garg, ,0
6,wow,wow,['wow'], ,0.5859,pos,bdldymhmdbdldym, ,1
7,Hello baby I love you so much baby ok,hello babi love much babi ok,"['hello', 'babi', 'love', 'much', 'babi', 'ok']", ,0.7506,pos,pr.osper2469, ,1
8,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.13978494623655907,neu,amrita_lot, ,1
9,🔥🔥👏, ,[],🔥🔥👏,0.26670594589286584,neu,vidyaramyadavmanai, ,1
10,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.13978494623655904,neu,alinacerasela3, ,3
