,Emoji,Unicode codepoint,sent
0,😂,0x1f602,0.22096840377513338
1,❤,0x2764,0.7460869565217392
2,♥,0x2665,0.6576147816349384
3,😍,0x1f60d,0.6779367825129737
4,😭,0x1f62d,-0.09337676438653641
5,😘,0x1f618,0.7017543859649124
6,😊,0x1f60a,0.6446955430006278
7,👌,0x1f44c,0.5637606837606838
8,💕,0x1f495,0.6329166666666667
9,👏,0x1f44f,0.5205479452054794
10,😁,0x1f601,0.4499771585198721
11,☺,0x263a,0.6580989330746847
12,♡,0x2661,0.669873417721519
13,👍,0x1f44d,0.5221143473570657
14,😩,0x1f629,-0.36836283185840707
15,🙏,0x1f64f,0.41780376868096164
16,✌,0x270c,0.46414602346805733
17,😏,0x1f60f,0.33245729303547966
18,😉,0x1f609,0.46416831032215644
19,🙌,0x1f64c,0.5604249667994687
20,🙈,0x1f648,0.4326923076923077
21,💪,0x1f4aa,0.5557132718239886
22,😄,0x1f604,0.4220314735336195
23,😒,0x1f612,-0.3747292418772563
24,💃,0x1f483,0.7358630952380952
25,💖,0x1f496,0.7133808392715756
26,😃,0x1f603,0.5580431177446102
27,😔,0x1f614,-0.1460580912863071
28,😱,0x1f631,0.19026548672566368
29,🎉,0x1f389,0.7395555555555555
30,😜,0x1f61c,0.4560386473429952
31,☯,0x262f,0.0010080645161290322
32,🌸,0x1f338,0.6522198731501057
33,💜,0x1f49c,0.6560170394036209
34,💙,0x1f499,0.7324561403508771
35,✨,0x2728,0.35259433962264153
36,😳,0x1f633,0.017730496453900735
37,💗,0x1f497,0.6590909090909091
38,★,0x2605,0.28381642512077293
39,█,0x2588,-0.03258145363408521
40,☀,0x2600,0.46692111959287536
41,😡,0x1f621,-0.17328042328042326
42,😎,0x1f60e,0.493368700265252
43,😢,0x1f622,0.006675567423230999
44,💋,0x1f48b,0.6934604904632152
45,😋,0x1f60b,0.6335149863760219
46,🙊,0x1f64a,0.4606896551724138
47,😴,0x1f634,-0.0807799442896936
48,🎶,0x1f3b6,0.5392296718972895
49,💞,0x1f49e,0.7423580786026202
50,😌,0x1f60c,0.48421052631578954
51,🔥,0x1f525,0.13978494623655913
52,💯,0x1f4af,0.1208791208791209
53,🔫,0x1f52b,-0.19536423841059603
54,💛,0x1f49b,0.712624584717608
55,💁,0x1f481,0.3278688524590164
56,💚,0x1f49a,0.659217877094972
57,♫,0x266b,0.2889305816135085
58,😞,0x1f61e,-0.11842105263157898
59,😆,0x1f606,0.4117647058823529
60,😝,0x1f61d,0.42540322580645157
61,😪,0x1f62a,-0.08091286307053946
62,�,0xfffd,0.08686440677966101
63,😫,0x1f62b,-0.145610278372591
64,😅,0x1f605,0.17965367965367968
65,👊,0x1f44a,0.22925764192139736
66,💀,0x1f480,-0.20833333333333337
67,😀,0x1f600,0.571753986332574
68,😚,0x1f61a,0.714622641509434
69,😻,0x1f63b,0.6235011990407674
70,©,0xa9,0.11778846153846154
71,👀,0x1f440,0.06341463414634144
72,💘,0x1f498,0.6886075949367089
73,🐓,0x1f413,0.02864583333333333
74,☕,0x2615,0.24607329842931935
75,👋,0x1f44b,0.41623036649214656
76,✋,0x270b,0.12698412698412698
77,🎊,0x1f38a,0.7272727272727273
78,🍕,0x1f355,0.42045454545454547
79,❄,0x2744,0.5100286532951289
80,😥,0x1f625,0.12316715542521994
81,😕,0x1f615,-0.39999999999999997
82,💥,0x1f4a5,0.14893617021276595
83,💔,0x1f494,-0.12195121951219512
84,😤,0x1f624,-0.21100917431192662
85,😈,0x1f608,0.2676923076923077
86,►,0x25ba,0.16307692307692306
87,✈,0x2708,0.4192546583850931
88,🔝,0x1f51d,0.4785478547854785
89,😰,0x1f630,-0.019867549668874163
90,⚽,0x26bd,0.6220735785953178
91,😑,0x1f611,-0.31438127090301005
92,👑,0x1f451,0.7013422818791946
93,😹,0x1f639,0.14237288135593218
94,👉,0x1f449,0.3938356164383562
95,🍃,0x1f343,0.38144329896907214
96,🎁,0x1f381,0.7673611111111112
